CV-p02-01	•	١- دیی ورتك ها :یان داروها با كاهش حجم خون و تاثیر مستقیم برعروق (با یشی وه ا كه به طور كامل شناخته نشده)، فشار خون را پاییی ن م  آورند. مهم
CV-p02-02	•	٢- داروها ی فلج کننده سمپات كی :یان داروها با چند مکانیسم، عملکرد اعصاب سمپاتیك را مختل می كنند. در نتی ،جهی ك یا چند مورد زیر كاهش می
CV-p02-03	•	ب) داروهای موثر بر
CV-p02-04	H	1
CV-p03-01	•	3- داروها ی متسع کننده عروق :داروهایی كه با تاثیر مستقیم بر سلول های عضله صاف از طریق مکانیسم های غیراتونوم، عروق خونی را متسع می كنند .
CV-p03-02	•	)بنیتروپروساید و دیازوکساید :این متسع كننده  های عروقی از راه تزریقی در درمان اورژانس های فشارخون به كار می روند. نیتروپروساید یك داروی
CV-p03-03	•	)پمهارکننده های کانال کلسیم :این داروها (مانند نیفدیپین ، وراپامیل، دیلتیازم )  از راه خواركی تجویز می شوند و برای درمان دراز مدت فشار خون
CV-p03-04	•	4- آنتاگونیست ها ی ی آنژ وتانس نی :دو گروه اصلی آنتاگونیستهای آنژ تانس ویی ن عبارتند ازمهارکننده ها ی  و مهارکننده های یگ رنده
CV-p03-05	•	)دارد. لوسارتان، والسارتان، ایربسارتان، كاندسارتان و  داروهای مشابه، به اندازه مهار  كننده های  در پایین آوردن فشارخون  موثر هستند و به واسطه آمار
CV-p03-06	H	2
CV-p04-01	•	١- یی تغی ر شوه زندگی (از جمله محدودی ،)ت مصرف نمك و كاهش وزن٢- ی ورت ید ،ك ها3- داروهای فلج كننده سمپاتی،ك ٤-  داروهای  متسع كننده عروق، و
CV-p04-02	•	٥- مهاركننده های  ی باد بدان یم كه داروهای  گروهو٢3 یم توانند پاسخ های جبرانی به دیگر داروها را مهاركنند (مثال پروپرانولول تاكیکارد ی ی ناش  از
CV-p04-03	•	مقدمه
CV-p04-04	H	3
CV-p05-01	•	ب) بازوی صعودی ضخیم قوس هنله
CV-p05-02	•	پ) توبول پیچیده دیستال در این بخش، سدیم و كلر فعاالنه به خارج لومن پمپ می شود كه این كار
CV-p05-03	•	–
CV-p05-04	•	ت) توبول جمع کننده قشری
CV-p05-05	H	4
CV-p06-01	•	ث) گروه های دارویی دیورتیك
CV-p06-02	•	ب) اثرات
CV-p06-03	•	–
CV-p06-04	•	پ) کاربردهای بالینی
CV-p06-05	•	ت) عوارض
CV-p06-06	H	5
CV-p07-01	•	)كوتاه تر هستند (دیورز معموالدرعرض یك دوره چهار ساعته بعد از یك دوز روی می دهد
CV-p07-02	•	ب) اثرات
